,LONELY2,SATJOB,MOREDAYS,WRKHOME,HLTHPHYS,HLTHMNTL,CONWKDAY,PARTLSC,AGE,MARITAL,EDUC,is_si,marital_cat,MOREWEEKS,Age Group
3,2.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,63.0,1.0,4,0,1,1,4
6,3.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,59.0,3.0,3,1,0,1,3
7,1.0,1.0,24.0,1.0,2.0,3.0,4.0,5.0,43.0,5.0,2,0,0,4,2
9,3.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,55.0,1.0,2,1,1,1,3
11,3.0,2.0,6.0,1.0,3.0,3.0,2.0,1.0,34.0,4.0,3,1,0,1,2
13,1.0,2.0,0.0,1.0,1.0,1.0,4.0,2.0,44.0,1.0,4,0,1,0,2
18,2.0,2.0,3.0,1.0,1.0,2.0,6.0,3.0,40.0,3.0,4,0,0,1,2
19,3.0,3.0,15.0,4.0,4.0,3.0,3.0,2.0,30.0,5.0,4,1,0,3,2
29,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,20.0,5.0,3,0,0,1,1
35,1.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0,65.0,1.0,4,0,1,1,4
37,1.0,4.0,30.0,5.0,2.0,2.0,2.0,5.0,34.0,5.0,4,0,0,4,2
40,2.0,1.0,0.0,1.0,2.0,2.0,4.0,4.0,65.0,3.0,2,0,0,0,4
45,4.0,2.0,3.0,1.0,4.0,3.0,1.0,5.0,46.0,2.0,2,1,0,1,3
50,1.0,1.0,2.0,6.0,1.0,2.0,3.0,5.0,22.0,5.0,3,0,0,1,1
54,1.0,1.0,0.0,5.0,1.0,1.0,2.0,1.0,46.0,1.0,4,0,1,0,3
55,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,55.0,3.0,3,0,0,1,3
58,2.0,3.0,0.0,1.0,4.0,3.0,4.0,2.0,23.0,5.0,1,0,0,0,1
59,5.0,2.0,3.0,1.0,5.0,3.0,2.0,5.0,28.0,4.0,1,1,0,1,1
71,1.0,2.0,20.0,5.0,4.0,3.0,6.0,4.0,37.0,1.0,4,0,1,3,2
73,1.0,2.0,12.0,2.0,3.0,2.0,4.0,1.0,42.0,1.0,4,0,1,2,2
74,3.0,2.0,3.0,1.0,4.0,2.0,5.0,2.0,21.0,5.0,3,1,0,1,1
76,1.0,1.0,18.0,3.0,1.0,1.0,4.0,5.0,37.0,1.0,4,0,1,3,2
84,3.0,1.0,0.0,1.0,3.0,2.0,2.0,3.0,70.0,4.0,2,1,0,0,4
86,3.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,53.0,5.0,3,1,0,0,3
87,1.0,1.0,2.0,1.0,2.0,2.0,4.0,5.0,46.0,1.0,4,0,1,1,3
88,1.0,1.0,0.0,1.0,2.0,2.0,3.0,4.0,55.0,1.0,4,0,1,0,3
90,3.0,3.0,30.0,1.0,2.0,3.0,4.0,1.0,42.0,5.0,4,1,0,4,2
92,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,29.0,5.0,4,0,0,0,1
95,4.0,3.0,3.0,1.0,3.0,4.0,4.0,3.0,22.0,5.0,3,1,0,1,1
102,1.0,3.0,0.0,4.0,1.0,1.0,4.0,2.0,50.0,1.0,4,0,1,0,3
104,3.0,3.0,1.0,6.0,3.0,2.0,2.0,3.0,56.0,5.0,4,1,0,1,3
106,1.0,1.0,30.0,1.0,2.0,2.0,4.0,5.0,23.0,5.0,2,0,0,4,1
107,1.0,3.0,5.0,6.0,4.0,3.0,2.0,5.0,67.0,5.0,2,0,0,1,4
108,1.0,1.0,0.0,1.0,2.0,1.0,3.0,3.0,54.0,1.0,4,0,1,0,3
110,1.0,1.0,3.0,1.0,2.0,2.0,6.0,5.0,55.0,3.0,3,0,0,1,3
114,1.0,1.0,2.0,6.0,2.0,2.0,4.0,3.0,70.0,1.0,4,0,1,1,4
118,1.0,1.0,3.0,1.0,2.0,2.0,4.0,3.0,48.0,1.0,3,0,1,1,3
122,1.0,1.0,4.0,1.0,2.0,1.0,6.0,2.0,76.0,2.0,4,0,0,1,4
123,3.0,1.0,0.0,2.0,2.0,3.0,4.0,3.0,59.0,1.0,4,1,1,0,3
127,3.0,1.0,10.0,2.0,1.0,1.0,1.0,2.0,39.0,5.0,4,1,0,2,2
129,2.0,2.0,1.0,6.0,2.0,3.0,2.0,4.0,39.0,5.0,4,0,0,1,2
133,2.0,1.0,1.0,5.0,4.0,2.0,2.0,1.0,69.0,1.0,3,0,1,1,4
134,2.0,1.0,2.0,3.0,3.0,1.0,4.0,4.0,60.0,1.0,3,0,1,1,4
137,1.0,3.0,4.0,5.0,3.0,4.0,3.0,5.0,35.0,1.0,4,0,1,1,2
138,1.0,2.0,1.0,1.0,3.0,2.0,5.0,4.0,38.0,1.0,2,0,1,1,2
140,3.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,55.0,3.0,3,1,0,1,3
141,1.0,1.0,15.0,1.0,5.0,2.0,2.0,5.0,34.0,1.0,4,0,1,3,2
144,1.0,1.0,2.0,1.0,4.0,2.0,4.0,4.0,56.0,3.0,2,0,0,1,3
147,2.0,4.0,0.0,1.0,4.0,2.0,3.0,5.0,26.0,5.0,4,0,0,0,1
149,1.0,1.0,18.0,1.0,2.0,2.0,2.0,5.0,59.0,4.0,4,0,0,3,3
150,1.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,39.0,5.0,4,0,0,1,2
153,2.0,2.0,2.0,1.0,3.0,3.0,1.0,5.0,46.0,4.0,4,0,0,1,3
154,1.0,3.0,4.0,2.0,3.0,5.0,3.0,1.0,57.0,5.0,1,0,0,1,3
155,2.0,2.0,0.0,1.0,3.0,3.0,2.0,5.0,35.0,1.0,1,0,1,0,2
158,1.0,2.0,15.0,1.0,3.0,2.0,2.0,5.0,48.0,1.0,1,0,1,3,3
166,1.0,2.0,5.0,2.0,4.0,3.0,3.0,5.0,43.0,5.0,1,0,0,1,2
168,2.0,3.0,26.0,1.0,5.0,2.0,4.0,3.0,46.0,5.0,4,0,0,4,3
170,5.0,3.0,2.0,3.0,4.0,3.0,1.0,5.0,19.0,5.0,2,1,0,1,1
171,1.0,3.0,0.0,1.0,4.0,3.0,1.0,5.0,65.0,1.0,3,0,1,0,4
172,3.0,2.0,4.0,2.0,2.0,3.0,4.0,5.0,60.0,3.0,3,1,0,1,4
174,1.0,1.0,0.0,5.0,1.0,3.0,3.0,3.0,36.0,1.0,4,0,1,0,2
177,1.0,1.0,25.0,3.0,2.0,1.0,3.0,2.0,61.0,4.0,3,0,0,4,4
190,3.0,1.0,20.0,1.0,2.0,3.0,2.0,2.0,53.0,3.0,2,1,0,3,3
198,1.0,1.0,0.0,3.0,2.0,2.0,3.0,5.0,38.0,1.0,4,0,1,0,2
208,2.0,2.0,2.0,5.0,2.0,2.0,4.0,3.0,50.0,1.0,4,0,1,1,3
211,1.0,1.0,2.0,5.0,2.0,2.0,6.0,3.0,46.0,1.0,3,0,1,1,3
219,1.0,1.0,20.0,2.0,2.0,1.0,6.0,5.0,33.0,1.0,2,0,1,3,2
220,1.0,1.0,15.0,1.0,2.0,3.0,3.0,4.0,34.0,1.0,4,0,1,3,2
221,3.0,2.0,4.0,1.0,3.0,3.0,2.0,2.0,46.0,1.0,4,1,1,1,3
223,1.0,1.0,5.0,1.0,4.0,3.0,4.0,4.0,28.0,5.0,3,0,0,1,1
227,1.0,3.0,20.0,1.0,3.0,3.0,6.0,2.0,28.0,5.0,4,0,0,3,1
230,1.0,1.0,10.0,2.0,1.0,1.0,3.0,5.0,51.0,3.0,3,0,0,2,3
232,2.0,1.0,20.0,1.0,3.0,3.0,5.0,1.0,44.0,1.0,4,0,1,3,2
234,2.0,2.0,8.0,1.0,4.0,4.0,3.0,5.0,29.0,1.0,2,0,1,2,1
238,1.0,1.0,0.0,1.0,3.0,3.0,4.0,4.0,65.0,1.0,4,0,1,0,4
240,1.0,1.0,12.0,2.0,2.0,1.0,4.0,3.0,58.0,1.0,3,0,1,2,3
241,1.0,1.0,3.0,1.0,2.0,3.0,4.0,4.0,26.0,5.0,3,0,0,1,1
242,2.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,61.0,1.0,3,0,1,1,4
246,1.0,1.0,10.0,1.0,2.0,3.0,3.0,4.0,29.0,5.0,2,0,0,2,1
251,1.0,2.0,15.0,4.0,2.0,1.0,6.0,3.0,37.0,1.0,4,0,1,3,2
256,1.0,3.0,12.0,1.0,3.0,2.0,4.0,3.0,36.0,5.0,2,0,0,2,2
261,4.0,3.0,3.0,1.0,1.0,2.0,6.0,2.0,26.0,5.0,4,1,0,1,1
263,1.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,54.0,1.0,4,0,1,1,3
266,1.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,58.0,4.0,4,0,0,1,3
267,1.0,1.0,0.0,6.0,1.0,2.0,2.0,1.0,50.0,3.0,3,0,0,0,3
268,1.0,2.0,5.0,5.0,2.0,1.0,4.0,1.0,36.0,5.0,4,0,0,1,2
270,2.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,51.0,5.0,2,0,0,1,3
272,3.0,2.0,4.0,1.0,3.0,1.0,1.0,3.0,29.0,5.0,3,1,0,1,1
275,2.0,1.0,28.0,5.0,1.0,2.0,4.0,3.0,53.0,1.0,4,0,1,4,3
276,1.0,1.0,10.0,3.0,2.0,1.0,6.0,5.0,45.0,1.0,4,0,1,2,3
277,3.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,36.0,3.0,3,1,0,1,2
278,1.0,1.0,8.0,3.0,1.0,1.0,3.0,3.0,60.0,1.0,2,0,1,2,4
281,3.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,34.0,1.0,3,1,1,1,2
282,1.0,2.0,2.0,1.0,2.0,2.0,3.0,5.0,58.0,1.0,3,0,1,1,3
288,1.0,1.0,1.0,1.0,3.0,1.0,4.0,5.0,46.0,4.0,2,0,0,1,3
290,1.0,2.0,12.0,1.0,1.0,1.0,4.0,2.0,59.0,3.0,4,0,0,2,3
291,1.0,1.0,5.0,5.0,2.0,1.0,5.0,3.0,63.0,1.0,4,0,1,1,4
299,2.0,1.0,7.0,4.0,2.0,1.0,3.0,2.0,44.0,5.0,4,0,0,1,2
303,2.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,52.0,3.0,4,0,0,1,3
304,1.0,2.0,0.0,1.0,3.0,3.0,2.0,4.0,69.0,1.0,3,0,1,0,4
306,1.0,1.0,10.0,5.0,2.0,2.0,3.0,3.0,25.0,5.0,4,0,0,2,1
307,1.0,1.0,5.0,1.0,2.0,2.0,2.0,5.0,33.0,5.0,1,0,0,1,2
312,1.0,1.0,5.0,4.0,1.0,1.0,3.0,1.0,58.0,2.0,4,0,0,1,3
313,1.0,1.0,5.0,2.0,2.0,2.0,3.0,3.0,42.0,1.0,4,0,1,1,2
315,3.0,4.0,3.0,1.0,4.0,2.0,6.0,1.0,25.0,5.0,4,1,0,1,1
330,2.0,1.0,0.0,5.0,3.0,2.0,3.0,1.0,42.0,5.0,3,0,0,0,2
331,1.0,1.0,3.0,6.0,2.0,1.0,3.0,3.0,34.0,1.0,4,0,1,1,2
336,3.0,3.0,1.0,1.0,3.0,3.0,2.0,5.0,26.0,5.0,4,1,0,1,1
338,1.0,1.0,17.0,4.0,2.0,2.0,4.0,1.0,40.0,1.0,4,0,1,3,2
339,2.0,2.0,5.0,6.0,1.0,2.0,2.0,3.0,56.0,3.0,4,0,0,1,3
340,5.0,1.0,10.0,5.0,4.0,4.0,2.0,4.0,60.0,2.0,4,1,0,2,4
342,1.0,2.0,0.0,3.0,1.0,1.0,4.0,4.0,35.0,1.0,4,0,1,0,2
343,1.0,2.0,2.0,3.0,1.0,1.0,6.0,3.0,55.0,1.0,4,0,1,1,3
356,3.0,3.0,0.0,1.0,3.0,4.0,1.0,5.0,34.0,5.0,1,1,0,0,2
357,1.0,1.0,0.0,5.0,2.0,2.0,2.0,3.0,39.0,1.0,4,0,1,0,2
359,1.0,2.0,0.0,1.0,3.0,3.0,1.0,5.0,70.0,4.0,2,0,0,0,4
364,5.0,2.0,5.0,5.0,3.0,2.0,3.0,5.0,44.0,3.0,4,1,0,1,2
367,2.0,2.0,4.0,4.0,2.0,3.0,4.0,3.0,27.0,5.0,4,0,0,1,1
371,4.0,1.0,22.0,3.0,1.0,2.0,3.0,3.0,38.0,1.0,4,1,1,4,2
383,3.0,1.0,4.0,6.0,3.0,2.0,3.0,3.0,48.0,1.0,3,1,1,1,3
386,4.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,30.0,5.0,4,1,0,1,2
388,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,38.0,1.0,3,0,1,0,2
390,3.0,2.0,2.0,1.0,5.0,5.0,5.0,1.0,55.0,3.0,3,1,0,1,3
391,3.0,1.0,10.0,2.0,2.0,2.0,4.0,1.0,28.0,5.0,4,1,0,2,1
393,2.0,1.0,20.0,5.0,3.0,3.0,1.0,3.0,24.0,5.0,4,0,0,3,1
395,1.0,1.0,0.0,4.0,1.0,1.0,2.0,2.0,77.0,1.0,4,0,1,0,4
402,1.0,1.0,3.0,1.0,1.0,1.0,2.0,5.0,20.0,5.0,2,0,0,1,1
403,1.0,2.0,0.0,1.0,3.0,1.0,1.0,5.0,38.0,1.0,1,0,1,0,2
407,1.0,2.0,0.0,1.0,3.0,1.0,5.0,3.0,43.0,1.0,3,0,1,0,2
416,1.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,46.0,4.0,3,0,0,1,3
421,2.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,59.0,1.0,3,0,1,1,3
422,2.0,2.0,2.0,1.0,3.0,3.0,5.0,2.0,47.0,3.0,2,0,0,1,3
423,2.0,2.0,0.0,1.0,3.0,3.0,3.0,5.0,27.0,5.0,3,0,0,0,1
425,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,74.0,1.0,4,0,1,0,4
428,3.0,2.0,20.0,1.0,2.0,3.0,2.0,2.0,46.0,3.0,4,1,0,3,3
430,1.0,1.0,20.0,1.0,1.0,1.0,3.0,1.0,65.0,3.0,4,0,0,3,4
431,1.0,1.0,25.0,4.0,2.0,1.0,5.0,1.0,36.0,1.0,4,0,1,4,2
433,2.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,32.0,1.0,4,0,1,1,2
439,1.0,1.0,5.0,1.0,2.0,3.0,6.0,1.0,31.0,5.0,3,0,0,1,2
440,1.0,2.0,0.0,1.0,3.0,3.0,5.0,3.0,31.0,1.0,4,0,1,0,2
441,3.0,1.0,7.0,3.0,4.0,4.0,3.0,5.0,35.0,1.0,4,1,1,1,2
446,1.0,3.0,0.0,1.0,4.0,4.0,2.0,2.0,37.0,5.0,4,0,0,0,2
453,1.0,1.0,20.0,2.0,1.0,1.0,5.0,1.0,33.0,5.0,4,0,0,3,2
459,2.0,2.0,5.0,1.0,2.0,2.0,2.0,5.0,22.0,1.0,3,0,1,1,1
460,1.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,28.0,1.0,4,0,1,1,1
461,2.0,2.0,8.0,1.0,2.0,3.0,5.0,3.0,24.0,5.0,4,0,0,2,1
462,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,43.0,1.0,3,0,1,1,2
465,1.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,21.0,5.0,3,0,0,1,1
466,1.0,2.0,8.0,1.0,4.0,3.0,3.0,3.0,48.0,1.0,3,0,1,2,3
471,2.0,1.0,0.0,5.0,3.0,2.0,1.0,2.0,37.0,3.0,4,0,0,0,2
473,1.0,1.0,20.0,5.0,3.0,1.0,4.0,5.0,43.0,1.0,4,0,1,3,2
476,2.0,1.0,3.0,6.0,4.0,4.0,3.0,1.0,40.0,1.0,4,0,1,1,2
479,3.0,2.0,2.0,1.0,4.0,4.0,3.0,5.0,31.0,5.0,3,1,0,1,2
480,1.0,2.0,2.0,4.0,2.0,2.0,6.0,1.0,51.0,5.0,4,0,0,1,3
483,3.0,2.0,30.0,1.0,4.0,4.0,5.0,4.0,27.0,5.0,2,1,0,4,1
490,1.0,1.0,30.0,3.0,1.0,1.0,3.0,5.0,46.0,1.0,4,0,1,4,3
491,1.0,1.0,5.0,5.0,1.0,1.0,2.0,1.0,72.0,1.0,4,0,1,1,4
492,1.0,2.0,3.0,6.0,1.0,2.0,2.0,1.0,50.0,3.0,4,0,0,1,3
494,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,35.0,5.0,4,0,0,1,2
496,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,33.0,5.0,3,0,0,1,2
502,1.0,2.0,15.0,3.0,3.0,2.0,1.0,5.0,30.0,1.0,4,0,1,3,2
503,1.0,2.0,5.0,2.0,2.0,1.0,4.0,1.0,37.0,1.0,1,0,1,1,2
506,1.0,1.0,20.0,3.0,3.0,2.0,2.0,5.0,66.0,1.0,4,0,1,3,4
508,1.0,2.0,5.0,3.0,2.0,2.0,4.0,1.0,39.0,1.0,4,0,1,1,2
510,3.0,1.0,1.0,6.0,3.0,2.0,1.0,2.0,68.0,2.0,4,1,0,1,4
515,1.0,2.0,8.0,4.0,3.0,1.0,4.0,2.0,48.0,1.0,3,0,1,2,3
518,3.0,1.0,12.0,4.0,3.0,3.0,4.0,3.0,59.0,2.0,4,1,0,2,3
522,1.0,1.0,6.0,6.0,2.0,2.0,1.0,3.0,63.0,1.0,2,0,1,1,4
524,4.0,1.0,2.0,6.0,2.0,2.0,6.0,4.0,35.0,1.0,3,1,1,1,2
527,2.0,2.0,0.0,1.0,3.0,3.0,4.0,2.0,76.0,2.0,3,0,0,0,4
529,2.0,2.0,1.0,1.0,4.0,3.0,4.0,1.0,56.0,3.0,2,0,0,1,3
532,1.0,2.0,0.0,1.0,2.0,1.0,6.0,3.0,55.0,5.0,2,0,0,0,3
533,1.0,1.0,10.0,3.0,2.0,1.0,6.0,3.0,57.0,1.0,4,0,1,2,3
535,1.0,1.0,0.0,4.0,2.0,1.0,4.0,3.0,33.0,1.0,3,0,1,0,2
538,2.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,39.0,1.0,3,0,1,1,2
540,3.0,1.0,2.0,3.0,3.0,4.0,5.0,3.0,49.0,3.0,4,1,0,1,3
543,1.0,1.0,25.0,1.0,3.0,3.0,2.0,4.0,52.0,1.0,3,0,1,4,3
553,1.0,1.0,4.0,1.0,1.0,2.0,3.0,5.0,21.0,5.0,2,0,0,1,1
558,3.0,1.0,20.0,5.0,1.0,2.0,5.0,1.0,66.0,1.0,4,1,1,3,4
559,3.0,2.0,10.0,1.0,2.0,2.0,4.0,3.0,28.0,5.0,4,1,0,2,1
564,1.0,2.0,0.0,1.0,3.0,2.0,4.0,5.0,28.0,5.0,4,0,0,0,1
568,1.0,2.0,10.0,6.0,3.0,2.0,4.0,2.0,67.0,1.0,4,0,1,2,4
571,3.0,2.0,15.0,4.0,2.0,1.0,5.0,5.0,23.0,5.0,4,1,0,3,1
572,2.0,1.0,1.0,5.0,3.0,4.0,3.0,3.0,37.0,1.0,4,0,1,1,2
573,1.0,3.0,4.0,1.0,2.0,1.0,4.0,2.0,27.0,5.0,2,0,0,1,1
577,3.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,38.0,4.0,3,1,0,1,2
580,1.0,4.0,6.0,3.0,3.0,2.0,5.0,2.0,30.0,5.0,4,0,0,1,2
582,3.0,2.0,1.0,5.0,3.0,2.0,2.0,5.0,44.0,3.0,2,1,0,1,2
584,2.0,2.0,0.0,1.0,3.0,2.0,4.0,3.0,45.0,1.0,2,0,1,0,3
585,3.0,1.0,0.0,1.0,3.0,3.0,4.0,5.0,27.0,5.0,1,1,0,0,1
586,3.0,1.0,0.0,1.0,3.0,2.0,2.0,4.0,53.0,1.0,4,1,1,0,3
589,1.0,2.0,2.0,1.0,1.0,1.0,5.0,4.0,50.0,1.0,3,0,1,1,3
591,1.0,1.0,20.0,5.0,2.0,1.0,2.0,2.0,51.0,5.0,4,0,0,3,3
592,1.0,1.0,0.0,1.0,2.0,2.0,4.0,4.0,63.0,3.0,3,0,0,0,4
593,1.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,57.0,1.0,2,0,1,0,3
595,1.0,1.0,0.0,1.0,1.0,1.0,3.0,5.0,64.0,1.0,3,0,1,0,4
599,2.0,2.0,24.0,3.0,3.0,3.0,1.0,5.0,28.0,5.0,2,0,0,4,1
602,1.0,1.0,5.0,4.0,3.0,3.0,4.0,1.0,56.0,1.0,3,0,1,1,3
611,1.0,1.0,0.0,1.0,1.0,1.0,2.0,5.0,40.0,3.0,1,0,0,0,2
622,1.0,1.0,15.0,5.0,2.0,2.0,4.0,3.0,41.0,5.0,4,0,0,3,2
625,2.0,1.0,5.0,1.0,2.0,1.0,2.0,3.0,49.0,4.0,3,0,0,1,3
627,4.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,31.0,5.0,4,1,0,1,2
632,1.0,3.0,0.0,1.0,1.0,2.0,2.0,5.0,39.0,5.0,3,0,0,0,2
635,2.0,2.0,0.0,1.0,3.0,3.0,1.0,5.0,48.0,4.0,2,0,0,0,3
636,1.0,1.0,3.0,1.0,3.0,3.0,1.0,5.0,28.0,1.0,2,0,1,1,1
639,1.0,2.0,0.0,6.0,2.0,2.0,2.0,2.0,38.0,1.0,2,0,1,0,2
641,4.0,2.0,20.0,1.0,1.0,2.0,2.0,1.0,40.0,3.0,3,1,0,3,2
642,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,57.0,1.0,3,0,1,1,3
647,3.0,2.0,0.0,5.0,1.0,1.0,1.0,1.0,25.0,1.0,1,1,1,0,1
653,3.0,3.0,0.0,1.0,2.0,2.0,5.0,1.0,28.0,5.0,4,1,0,0,1
656,1.0,1.0,12.0,1.0,3.0,2.0,4.0,3.0,40.0,1.0,2,0,1,2,2
657,1.0,2.0,0.0,5.0,1.0,1.0,4.0,4.0,47.0,1.0,3,0,1,0,3
665,2.0,3.0,0.0,4.0,2.0,2.0,3.0,1.0,36.0,1.0,4,0,1,0,2
666,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,34.0,5.0,3,0,0,1,2
667,4.0,2.0,4.0,1.0,4.0,4.0,2.0,3.0,30.0,5.0,4,1,0,1,2
669,5.0,1.0,0.0,1.0,3.0,3.0,3.0,2.0,28.0,5.0,2,1,0,0,1
670,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,65.0,1.0,4,0,1,0,4
671,1.0,1.0,0.0,6.0,2.0,1.0,3.0,1.0,49.0,1.0,2,0,1,0,3
675,1.0,2.0,4.0,2.0,2.0,5.0,2.0,3.0,22.0,5.0,3,0,0,1,1
678,2.0,4.0,0.0,1.0,3.0,1.0,5.0,5.0,59.0,1.0,2,0,1,0,3
680,1.0,2.0,7.0,1.0,2.0,1.0,6.0,4.0,54.0,1.0,3,0,1,1,3
684,1.0,1.0,5.0,1.0,3.0,2.0,2.0,5.0,34.0,1.0,2,0,1,1,2
688,1.0,2.0,0.0,1.0,1.0,1.0,1.0,4.0,23.0,5.0,2,0,0,0,1
690,1.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,34.0,1.0,2,0,1,1,2
697,1.0,2.0,0.0,1.0,1.0,1.0,3.0,5.0,50.0,3.0,2,0,0,0,3
698,1.0,2.0,4.0,5.0,2.0,3.0,1.0,3.0,40.0,3.0,4,0,0,1,2
706,1.0,1.0,0.0,5.0,1.0,1.0,4.0,5.0,71.0,1.0,2,0,1,0,4
714,1.0,2.0,0.0,1.0,3.0,3.0,1.0,2.0,38.0,1.0,1,0,1,0,2
715,1.0,2.0,5.0,6.0,1.0,1.0,3.0,4.0,39.0,1.0,4,0,1,1,2
717,1.0,1.0,4.0,5.0,4.0,2.0,4.0,1.0,45.0,1.0,4,0,1,1,3
